,brand,description,link,processed_text
40,Lux Lyra,Lyra Women Solid Premium Cotton Churidar Leggings | Mid-Waist | Fashionwear,https://www.amazon.in/LUX-LYRA-Womens-Churidar-Legging/dp/B07P9RLB1C,lux lyra lyra women solid premium cotton churidar leg mid waist fashionwear
41,Studio Shringaar,Women's Cotton Jaipuri Elbow Length Sleeve Saree Blouse,https://www.amazon.in/Studio-Shringaar-Cotton-SII1887_34_Indigo-Blue_XX-Small/dp/B078NPZB87,studio shringaar women cotton jaipuri elbow length sleev sare blous
42,MANOHARI,Women Chiffon Saree With Blouse Piece,https://www.amazon.in/MANOHARI-Womens-Chiffon-Matching-MN1199_Blue/dp/B09BR9DXNW,manohari women chiffon sare blous piec
43,ZEYO,Women's Cotton Heart Printed Night Suit Set of Top & Capri 5233,https://www.amazon.in/ZEYO-Womens-Cotton-Printed-Stylish/dp/B08P5524GY,zeyo women cotton heart print night suit set top capri 5233
44,Varkala Silk Sarees,Women's Banarasi Kanchipuram Silk Saree With Blouse Piece,https://www.amazon.in/VARKALA-SILK-SAREES-Kanjiwaram-Banarasi/dp/B07JRBVXBV,varkala silk sare women banarasi kanchipuram silk sare blous piec
45,ZEYO,Women's Joggers Printed Regular Fit Track Pant 5046,https://www.amazon.in/ZEYO-Womens-Joggers-Striped-Regular/dp/B08Y734D1D,zeyo women jogger print regular fit track pant 5046
46,Studio Shringaar,Women's Polyester Elbow Length Sleeves Blouse,https://www.amazon.in/Studio-Shringaar-Digital-Stitched-Multicolour/dp/B07B6M9T7T,studio shringaar women polyest elbow length sleev blous
47,Fabricorn,Women's Fleece Hooded Sweatshirt,https://www.amazon.in/Fabricorn-Stripes-Stylish-Sweatshirt-XX-Large/dp/B08R5SWPQL,fabricorn women fleec hood sweatshirt
48,Qube By Fort Collins,Men's Sweatshirt,https://www.amazon.in/Qube-Fort-Collins-929206-SMU_Black_L/dp/B07FKSVX33,qube fort collin men sweatshirt
49,Amazon Brand - Inkast Denim Co.,Men's Lightweight Jacket,https://www.amazon.in/Amazon-Brand-Lightweight-Regular-AW20-LW-INK-04_Navy_M/dp/B08DGFQC46,amazon brand inkast denim men lightweight jacket
50,Jockey,9928 Men's Super Combed Cotton Rich Graphic Printed Low Neck Tank Top with Stay Fresh Treatment,https://www.amazon.in/Jockey-Mens-Regular-Tank-9928_White_Small/dp/B01EUQN2NQ,jockey 9928 men super comb cotton rich graphic print low neck tank top stay fresh treatment
51,Amazon Brand - Symbol,Men's Cotton Blend Crew Neck Sweatshirt (AW19MNSSW60_White_L),https://www.amazon.in/Amazon-Brand-Symbol-Sweatshirt-AW19MNSSW60_White_L/dp/B07TMNRDSW,amazon brand symbol men cotton blend crew neck sweatshirt aw19mnssw60 white
52,Deniklo,Men's Regular fit T-Shirt,https://www.amazon.in/Deniklo-Regular-T-Shirt-Charcoal-Black_XL/dp/B07TFRQ2PG,deniklo men regular fit shirt
53,CHKOKKO,Men's Regular Fit Polos,https://www.amazon.in/CHKOKKO-Cotton-Button-Sleeves-T-Shirts/dp/B07VCJW9Z6,chkokko men regular fit polo
